date,max_value,max_time
1951-09-16,2497.400683374381,1951-09-15 11:00:00
1951-09-22,1530.375011288009,1951-09-21 05:00:00
2004-09-22,5602.058092134646,2004-09-21 08:00:00
1993-09-23,3834.689616462654,1993-09-22 11:00:00
1985-09-29,1928.740477548807,1985-09-28 05:00:00
1954-09-30,2451.850722359833,1954-09-30 03:00:00
1953-10-04,579.7264795967687,1953-10-03 08:00:00
1979-10-04,756.8378623380833,1979-10-03 07:00:00
1988-10-05,1847.8332502300984,1988-10-04 14:00:00
1951-10-06,1369.33073379423,1951-10-05 13:00:00
1955-10-07,1874.285187578774,1955-10-06 08:00:00
1986-10-10,1826.1785791333111,1986-10-09 14:00:00
1969-10-11,2717.3623752840363,1969-10-10 01:00:00
1990-10-18,799.0355667865438,1990-10-17 11:00:00
1961-10-19,1465.658003241485,1961-10-18 10:00:00
1996-10-21,1690.132740331567,1996-10-21 01:00:00
2008-10-21,777.550733905987,2008-10-19 17:00:00
2007-10-22,932.2494622801872,2007-10-21 09:00:00
1975-10-24,3300.1176101195283,1975-10-23 08:00:00
1980-10-24,177.52683010435547,1980-10-23 07:00:00
2020-10-26,5568.839611536048,2020-10-24 22:00:00
2014-10-28,949.4585494299936,2014-10-27 10:00:00
1992-10-29,989.9766903249498,1992-10-28 12:00:00
2017-10-31,428.0320705869276,2017-10-30 09:00:00
2021-11-01,672.4865777315472,2021-10-31 06:00:00
2004-11-02,1329.1820960519278,2004-11-01 09:00:00
1953-11-04,1779.426447388352,1953-11-03 08:00:00
1951-11-06,1641.299929362718,1951-11-05 02:00:00
2008-11-06,432.9732723283618,2008-11-05 15:00:00
1991-11-11,496.3152149823146,1991-11-10 04:00:00
2022-11-11,907.8171413904994,2022-11-10 03:00:00
1976-11-12,1805.9826281904136,1976-11-11 05:00:00
2018-11-12,373.5994682906952,2018-11-11 05:00:00
1961-11-13,725.5402128037662,1961-11-12 19:00:00
2008-11-15,1100.8760125742072,2008-11-14 07:00:00
1989-11-16,2436.3246403624457,1989-11-14 22:00:00
1975-11-19,3353.691334353112,1975-11-19 02:00:00
2017-11-19,4449.647138877119,2017-11-18 05:00:00
2003-11-22,944.9905434903104,2003-11-21 14:00:00
1970-11-23,1360.5610232130416,1970-11-22 09:00:00
1986-11-23,514.1930981540712,1986-11-22 14:00:00
1989-11-23,1019.9279021434244,1989-11-22 17:00:00
1980-11-24,1239.1150636580878,1980-11-24 06:00:00
1988-11-26,393.5004021733996,1988-11-25 06:00:00
1995-11-28,1475.876027281373,1995-11-27 06:00:00
2005-11-28,419.08490721719073,2005-11-27 09:00:00
2010-11-30,1184.4056338985324,2010-11-29 12:00:00
2011-12-02,420.3918244333832,2011-12-01 03:00:00
2009-12-03,982.9148021965688,2009-12-02 05:00:00
1972-12-04,2160.1915368555024,1972-12-03 11:00:00
1973-12-04,731.7854973643571,1973-12-04 07:00:00
1959-12-05,353.9032969157235,1959-12-04 10:00:00
2010-12-05,379.5683440982593,2010-12-04 08:00:00
1963-12-08,597.6247770150089,1963-12-07 10:00:00
1977-12-09,1451.7977568256092,1977-12-08 10:00:00
2012-12-10,1112.125053673077,2012-12-09 05:00:00
1962-12-12,1708.3690533343963,1962-12-12 04:00:00
1964-12-13,344.206859084712,1964-12-13 09:00:00
2022-12-14,1187.44409419007,2022-12-13 18:00:00
1988-12-15,385.4913569290671,1988-12-14 15:00:00
1977-12-20,85.47827133322399,1977-12-19 10:00:00
1978-12-21,432.7327451377549,1978-12-20 07:00:00
1967-12-22,1787.6357074403538,1967-12-20 20:00:00
2020-12-24,2226.880808350505,2020-12-23 07:00:00
2017-12-31,3571.3438619709664,2017-12-30 02:00:00
