date,max_value,max_time,file_date,total_precip
1950-03-27,336.8337414685859,1950-03-26 17:00:00,1950-03-27,810.7573986053467
1950-04-04,2286.66563930192,1950-04-03 22:00:00,1950-04-04,1006.4983367919922
1950-12-06,12623.602979262305,1950-12-05 01:00:00,1950-12-06,888.9181613922119
1951-02-13,9049.629242888554,1951-02-12 19:00:00,1951-02-13,806.2317371368408
1951-04-11,1670.0249199439413,1951-04-10 09:00:00,1951-04-11,2023.9174365997314
1951-04-21,8806.192719460614,1951-04-20 22:00:00,1951-04-21,880.1245093345642
1951-05-07,3787.357402925763,1951-05-06 09:00:00,1951-05-07,890.1752829551697
1951-10-06,1369.33073379423,1951-10-05 13:00:00,1951-10-06,2317.9218769073486
1951-10-22,3166.686185301374,1951-10-21 22:00:00,1951-10-22,986.4327907562256
1951-11-06,1641.299929362718,1951-11-05 02:00:00,1951-11-06,844.8059558868408
1952-03-22,1757.4977145210771,1952-03-21 04:00:00,1952-03-22,1849.3218421936035
1952-04-09,7341.093378666312,1952-04-08 22:00:00,1952-04-09,1472.6377725601196
1952-04-10,7341.255058302949,1952-04-08 22:00:00,1952-04-10,1472.6377725601196
1952-05-17,5304.889198243047,1952-05-16 11:00:00,1952-05-17,2730.2699089050293
1952-09-02,880.0698015357509,1952-09-01 11:00:00,1952-09-02,853.8896441459656
1953-01-16,4933.288066980602,1953-01-15 04:00:00,1953-01-16,895.351767539978
1953-02-20,173.368125044222,1953-02-19 23:00:00,1953-02-20,1139.603853225708
1954-04-30,7030.040416097551,1954-04-29 21:00:00,1954-04-30,1124.7848272323608
1954-05-02,2085.33296002844,1954-05-01 09:00:00,1954-05-02,1461.323618888855
1955-02-20,1423.9519051069888,1955-02-18 15:00:00,1955-02-20,778.7703275680542
1955-04-13,6110.46062133846,1955-04-12 07:00:00,1955-04-13,2372.985363006592
1956-01-29,899.9424220182054,1956-01-29 11:00:00,1956-01-29,1794.7652339935303
1956-03-12,686.6435295595479,1956-03-11 23:00:00,1956-03-12,881.7946910858154
1956-04-03,1258.68602900059,1956-04-03 03:00:00,1956-04-03,1147.2527980804443
1958-05-09,1504.046124514509,1958-05-08 17:00:00,1958-05-09,1576.3568878173828
1959-01-15,408.1271523050176,1959-01-15 09:00:00,1959-01-15,1167.5924062728882
1959-03-05,767.5564650212937,1959-03-04 10:00:00,1959-03-05,825.385332107544
1959-03-15,723.5248195520369,1959-03-14 14:00:00,1959-03-15,881.8632364273071
1959-03-21,560.8366215885476,1959-03-20 03:00:00,1959-03-21,2259.413719177246
1959-03-26,2740.866951312583,1959-03-25 07:00:00,1959-03-26,2153.7258625030518
1960-01-15,2172.2682482698647,1960-01-14 10:00:00,1960-01-15,3665.7400131225586
1960-02-23,1469.7310734958855,1960-02-22 12:00:00,1960-02-23,885.8551979064941
1960-04-30,1857.038548280531,1960-04-29 09:00:00,1960-04-30,843.1408405303955
1960-05-20,2911.5515478399825,1960-05-19 21:00:00,1960-05-20,1160.8655452728271
1960-11-09,826.3388654759577,1960-11-08 22:00:00,1960-11-09,921.4295148849487
1961-05-02,11890.218535062902,1961-05-01 15:00:00,1961-05-02,743.7281608581543
1961-05-14,4496.907992546606,1961-05-14 01:00:00,1961-05-14,3694.05460357666
1961-09-04,7521.4495302997075,1961-09-03 02:00:00,1961-09-04,944.3349838256836
1961-10-30,2631.341429379259,1961-10-29 20:00:00,1961-10-30,1502.719759941101
1961-11-13,725.5402128037662,1961-11-12 19:00:00,1961-11-13,1516.2007808685303
1962-01-10,1767.4044246676924,1962-01-09 01:00:00,1962-01-10,1040.7941341400146
1962-09-20,7888.841468083145,1962-09-19 23:00:00,1962-09-20,768.6853408813477
1962-11-16,659.199855243703,1962-11-15 19:00:00,1962-11-16,1328.183889389038
1963-03-05,5102.454966464145,1963-03-04 01:00:00,1963-03-05,1080.8054208755493
1963-05-20,3925.679340994708,1963-05-19 16:00:00,1963-05-20,1053.648591041565
1963-11-01,1750.7585953295688,1963-10-31 13:00:00,1963-11-01,1084.2386484146118
1964-05-27,6203.93021723988,1964-05-27 01:00:00,1964-05-27,985.85045337677
1965-01-26,607.5469221831142,1965-01-25 17:00:00,1965-01-26,881.319522857666
1965-02-24,3969.8665178727056,1965-02-23 04:00:00,1965-02-24,865.1119470596313
1966-10-15,3756.5069864204033,1966-10-14 11:00:00,1966-10-15,2867.7978515625
1966-11-01,888.7113938178745,1966-10-31 19:00:00,1966-11-01,859.1111898422241
1967-03-26,3417.627591206318,1967-03-25 23:00:00,1967-03-26,787.4195575714111
1967-05-27,13558.302419787788,1967-05-26 23:00:00,1967-05-27,4416.155815124512
1967-10-30,1464.807266536635,1967-10-29 09:00:00,1967-10-30,1261.1132860183716
1967-11-03,1340.6775792086664,1967-11-02 13:00:00,1967-11-03,1105.1273345947266
1968-02-22,14083.828299585866,1968-02-21 01:00:00,1968-02-22,966.3605690002441
1968-04-04,7310.53904902511,1968-04-03 15:00:00,1968-04-04,1800.4335165023804
1968-10-17,8396.003707531354,1968-10-16 07:00:00,1968-10-17,1475.5268096923828
1969-03-03,2972.1509468415256,1969-03-02 04:00:00,1969-03-03,877.119243144989
